req_priority,tech_rank,opport,support_type,source_req,proj_type,type_feature,bu,numProd_line,total_effort,release
2,5,1,1,4,44,1,4,1,-1,0
2,11,1,1,15,25,1,4,2,9,1
2,12,1,1,15,38,5,1,2,5,0
1,23,1,1,15,26,1,4,1,11,1
1,22,1,1,15,23,5,2,3,3,0
1,14,1,1,15,38,5,4,4,9,1
1,10,1,1,15,38,5,4,2,1.1,1
1,1,1,1,15,-1,5,4,3,26,1
1,33,1,1,15,44,3,1,3,2,0
2,5,1,1,15,44,1,3,3,3.1,0
2,10,1,1,15,38,5,4,1,3,1
1,5,1,1,15,44,1,4,1,2,1
1,14,1,1,15,44,1,2,3,3.3,1
1,56,1,1,14,55,2,4,3,-1,0
1,23,1,1,15,44,1,2,1,5,0
1,13,1,1,3,61,4,2,5,6.7,1
2,1,1,1,15,10,5,3,2,1,0
1,6,1,1,15,44,1,4,1,1.5,1
0,4,1,1,15,-1,5,4,1,4,1
1,5,1,1,15,10,5,4,1,2,1
1,20,1,1,15,10,2,3,1,4,0
2,19,1,2,1,35,2,4,1,1,0
1,4,1,1,15,54,5,4,2,3,1
1,8,1,1,15,48,5,4,1,-1,1
1,28,1,1,15,44,1,1,1,1.5,0
1,7,1,1,15,44,1,4,1,1,1
2,9,1,1,4,-1,5,4,8,14,1
1,1,1,1,15,36,5,4,1,13,1
1,5,1,1,15,36,5,4,1,-1,1
1,5,1,1,15,10,5,4,1,-1,1
1,7,1,2,1,35,2,4,4,-1,1
1,49,1,1,15,38,4,2,4,5,0
1,29,1,1,15,38,5,4,2,3,1
2,16,1,1,15,19,2,4,2,15,1
1,5,1,1,14,55,2,4,1,5,1
1,20,1,2,13,37,5,4,6,6,1
2,2,1,1,15,44,1,4,1,-1,0
1,8,1,1,15,44,1,4,1,8,1
-1,24,1,1,15,44,3,1,1,6,0
1,3,1,1,15,36,5,4,1,-1,1
1,3,1,1,15,36,5,4,1,-1,1
1,2,1,1,15,36,5,4,1,-1,1
-1,16,1,1,15,44,1,2,1,-1,0
1,1,1,1,15,65,2,4,1,2,1
0,5,1,1,11,44,1,4,5,27,1
1,28,1,1,7,52,2,4,1,8,1
1,10,1,1,15,36,5,4,1,-1,1
0,4,1,2,1,45,2,4,4,23,1
0,2,1,1,4,48,5,4,11,5,1
2,6,1,1,4,48,5,4,8,14,1
1,8,1,2,1,35,2,4,1,2,1
2,20,1,1,15,6,5,4,2,9,1
1,15,1,2,1,35,2,4,2,3,0
1,7,1,1,13,21,5,4,2,1,1
1,8,1,1,15,10,5,4,1,9,1
1,2,1,1,15,44,1,4,1,-1,1
1,3,1,1,15,44,1,4,2,1.5,1
1,27,1,1,15,-1,5,2,3,4.5,0
1,1,1,1,15,44,1,4,1,11,1
1,9,1,1,7,11,2,4,1,2,1
1,6,1,1,7,11,2,4,1,3,1
2,7,1,1,15,-1,5,4,6,5.5,1
2,11,1,1,15,52,5,4,1,3,1
1,5,1,1,15,38,5,4,1,1,1
-1,46,1,1,15,38,2,3,2,7,0
0,3,1,1,15,38,5,4,3,37,1
1,7,1,1,15,1,1,4,3,9.5,1
1,18,1,1,7,65,2,4,1,3,1
1,6,1,1,15,44,1,4,1,23,1
1,1,1,1,3,12,2,4,1,13,1
1,3,1,1,5,48,5,4,1,7,1
1,10,1,2,1,39,2,4,1,0.5,1
0,6,1,2,1,32,2,4,1,13.5,1
-1,999,1,1,15,36,5,4,0,-1,0
1,2,1,1,15,44,1,4,2,10,1
1,7,1,2,2,30,2,4,7,10.5,1
1,41,1,1,15,-1,5,3,9,23,0
-1,13,1,1,3,43,2,1,1,9,0
1,10,1,1,15,15,5,4,1,5,1
1,1,1,1,7,65,2,4,1,13,1
1,12,1,1,5,48,5,4,2,5,1
1,5,1,1,15,44,1,4,4,4.5,1
1,10,1,1,15,54,5,4,2,-1,0
0,5,1,1,15,41,5,4,1,10,1
1,30,1,1,15,44,1,1,1,6,0
1,27,1,1,7,52,2,2,1,2,0
0,1,1,1,15,38,5,4,3,12,1
2,3,1,1,15,-1,5,4,1,6,1
2,26,1,1,15,-1,5,3,1,5,0
0,1,1,1,15,25,1,4,3,5,1
1,3,1,1,7,10,2,4,1,19,1
2,1,1,1,15,18,5,4,1,2,1
2,41,1,1,15,-1,5,3,1,12.5,0
-1,36,1,1,15,-1,5,3,2,6,0
1,6,1,1,15,44,1,4,1,4,1
1,10,1,1,15,15,5,4,2,13,1
1,9,1,1,15,15,5,4,1,2,1
1,1,1,1,15,48,5,4,1,1.5,1
-1,999,1,1,4,10,5,4,1,2,1
-1,999,1,1,11,10,1,4,1,2,1
-1,999,1,1,4,10,5,4,1,4,1
1,1,1,1,15,44,1,4,1,2,1
2,1,1,1,7,27,1,4,1,9,1
1,5,1,1,15,15,5,4,2,3.5,1
0,1,1,1,14,55,2,4,1,8,1
1,1,1,1,7,65,2,4,1,4,0
1,1,1,1,7,25,1,4,1,10,1
0,6,1,1,7,52,2,4,1,8,1
1,10,1,2,1,29,2,4,1,-1,1
0,1,1,1,7,25,1,4,1,1,1
1,24,1,1,15,23,5,2,1,5.5,0
1,1,1,2,1,29,2,4,2,-1,0
1,5,1,1,5,44,1,4,1,7,1
-1,999,1,1,4,-1,5,4,1,5,0
-1,999,1,1,4,36,5,4,0,-1,1
-1,27,1,1,15,10,2,3,1,3,0
0,3,1,1,15,41,5,4,1,21,1
-1,999,1,1,7,65,2,4,1,2,1
-1,999,1,1,15,26,1,4,1,-1,1
1,10,1,1,15,15,5,4,2,-1,1
1,13,1,1,3,61,2,2,2,9,0
2,11,1,1,15,25,1,4,2,9,1
2,12,1,1,15,38,5,1,2,5,0
2,26,1,1,15,44,1,2,2,7,0
1,4,1,1,4,-1,5,4,1,-1,1
1,22,1,1,15,23,5,2,3,3,0
0,61,1,1,15,18,5,4,1,-1,1
1,14,1,1,15,38,5,4,4,9,1
0,68,1,1,14,55,2,2,1,-1,1
1,5,1,1,3,12,2,4,2,10,1
1,10,1,1,15,38,5,4,2,1.1,1
1,33,1,1,15,44,3,1,3,2,0
2,5,1,1,15,44,1,3,3,3.1,0
2,10,1,1,15,38,5,4,1,3,1
1,5,1,1,15,44,1,4,1,2,1
1,14,1,1,15,44,1,2,3,3.3,1
1,56,1,1,14,55,2,4,3,-1,0
0,64,1,1,14,55,2,2,2,2,0
1,23,1,1,15,44,1,2,1,5,0
0,2,1,2,1,35,2,4,1,-1,1
1,13,1,1,3,61,4,2,5,6.7,1
2,1,1,1,15,10,5,3,2,1,0
1,10,1,1,15,54,5,4,1,3,1
1,20,1,1,15,10,2,3,1,4,0
1,10,1,2,1,35,2,4,2,4,1
2,19,1,2,1,35,2,4,1,1,0
1,4,1,1,15,54,5,4,2,3,1
1,6,1,1,15,54,5,4,2,1,1
1,28,1,1,15,44,1,1,1,1.5,0
2,9,1,1,4,-1,5,4,8,14,1
1,1,1,1,15,36,5,4,1,13,1
1,1,1,1,15,36,5,4,1,8,0
1,2,1,1,15,36,5,4,1,-1,0
3,1,1,1,15,44,1,4,1,-1,0
1,49,1,1,15,38,4,2,4,5,0
1,29,1,1,15,38,5,4,2,3,1
2,16,1,1,15,19,2,4,2,15,1
1,5,1,1,14,55,2,4,1,5,1
1,20,1,2,13,37,5,4,6,6,1
2,2,1,1,15,44,1,4,1,-1,0
2,10,1,1,15,44,1,3,1,0.5,1
0,100,1,1,14,55,2,4,3,18,0
-1,24,1,1,15,44,3,1,1,6,0
1,4,1,2,1,28,2,4,3,18,1
-1,16,1,1,15,44,1,2,1,-1,0
0,5,1,1,11,44,1,4,5,27,1
0,1,1,2,1,45,2,4,4,13,1
1,4,1,1,15,38,5,4,3,20.5,1
1,1,1,1,14,55,2,4,3,21,1
1,7,1,1,15,-1,5,1,1,3,0
0,1,1,1,15,36,5,4,3,-1,0
1,10,1,2,11,17,1,4,0,-1,0
1,2,1,2,1,35,2,4,2,3,1
2,20,1,1,15,6,5,4,2,9,1
1,3,1,1,15,44,1,4,2,1.5,1
1,27,1,1,15,-1,5,2,3,4.5,0
2,7,1,1,15,-1,5,4,6,5.5,1
1,4,1,1,4,-1,5,4,1,-1,0
2,11,1,1,15,52,5,4,1,3,1
-1,46,1,1,15,38,2,3,2,7,0
1,7,1,1,15,1,1,4,3,9.5,1
1,4,1,1,15,44,3,1,2,1,0
1,6,1,1,15,44,1,4,1,23,1
1,1,1,1,7,52,2,4,2,-1,0
1,37,1,1,15,44,1,2,1,4,0
-1,999,1,1,15,36,5,4,0,-1,0
1,3,1,2,1,28,2,4,1,0.5,1
2,1,1,1,15,-1,5,3,1,5,0
1,41,1,1,15,-1,5,3,9,23,0
-1,13,1,1,3,43,2,1,1,9,0
1,1,1,1,7,65,2,4,1,13,1
1,9,1,2,13,37,5,4,5,15.5,1
1,30,1,1,15,44,1,1,1,6,0
1,27,1,1,7,52,2,2,1,2,0
2,3,1,1,15,-1,5,4,1,6,1
2,26,1,1,15,-1,5,3,1,5,0
2,41,1,1,15,-1,5,3,1,12.5,0
-1,36,1,1,15,-1,5,3,2,6,0
1,19,1,1,15,44,1,2,2,12,0
0,4,1,1,15,41,5,4,2,9,1
1,23,1,1,15,26,1,4,1,1.8,1
1,5,1,1,15,15,5,4,2,3.5,1
0,1,1,1,15,25,1,4,1,6,1
1,24,1,1,15,23,5,2,1,5.5,0
1,10,1,1,15,-1,5,3,2,1,0
1,6,1,1,5,10,5,4,1,0.6,1
1,5,1,1,5,44,1,4,1,7,1
-1,999,1,1,4,-1,5,4,1,5,0
0,13,1,1,14,55,2,4,4,5,1
-1,27,1,1,15,10,2,3,1,3,0
1,1,1,1,15,48,5,4,4,24,1
1,2,1,1,15,36,5,4,1,8,1
1,6,1,2,1,35,2,4,2,-1,1
1,7,1,2,1,35,2,4,3,-1,0
2,21,1,2,1,35,2,4,3,-1,0
0,4,1,2,1,32,2,4,3,9,1
1,2,1,2,1,35,2,4,3,1,1
1,1,1,1,5,38,5,4,3,0.7,1
1,1,1,1,15,62,5,4,1,9,1
1,5,1,1,15,62,5,4,1,2,1
1,3,1,1,15,62,5,4,1,3,1
1,1,1,1,15,44,1,4,1,8.5,1
1,10,1,1,15,44,1,4,2,1.5,1
1,51,1,1,4,-1,5,3,3,-1,0
1,4,1,1,15,62,5,4,1,2,1
1,2,1,1,15,62,5,4,3,2,1
1,9,1,2,6,19,2,4,4,2,1
1,1,1,1,15,41,5,4,2,35,1
1,3,1,2,1,45,2,4,4,4,1
1,5,1,2,1,45,2,4,4,3,1
-1,999,1,1,7,65,2,4,1,34,1
-1,32,1,1,5,44,3,1,3,39,0
2,2,1,1,15,38,5,3,1,31.4,1
2,11,1,1,15,23,2,2,3,3,0
0,1,1,2,1,45,2,4,5,31,1